date,kids pajamas,teen pajamas,tween pjs,luxury pajamas
2021-02-21,20,0,0,0
2021-02-28,14,0,0,0
2021-03-07,14,0,0,0
2021-03-14,13,0,0,0
2021-03-21,17,0,0,0
2021-03-28,14,0,0,0
2021-04-04,11,0,0,0
2021-04-11,6,0,0,0
2021-04-18,7,0,0,0
2021-04-25,8,0,0,0
2021-05-02,9,0,0,0
2021-05-09,9,0,0,0
2021-05-16,5,0,0,0
2021-05-23,8,0,0,0
2021-05-30,12,0,0,0
2021-06-06,8,0,0,0
2021-06-13,7,0,0,0
2021-06-20,10,0,0,0
2021-06-27,8,0,0,0
2021-07-04,9,0,0,0
2021-07-11,6,0,0,0
2021-07-18,7,0,0,0
2021-07-25,9,0,0,0
2021-08-01,7,0,0,0
2021-08-08,7,0,0,0
2021-08-15,19,0,0,0
2021-08-22,19,0,0,0
2021-08-29,27,0,0,0
2021-09-05,27,0,0,0
2021-09-12,29,0,0,0
2021-09-19,29,0,0,0
2021-09-26,43,0,0,5
2021-10-03,49,0,0,0
2021-10-10,41,0,0,0
2021-10-17,49,0,0,0
2021-10-24,45,0,0,0
2021-10-31,47,0,0,0
2021-11-07,70,0,0,0
2021-11-14,66,0,0,0
2021-11-21,73,0,0,7
2021-11-28,97,0,0,0
2021-12-05,79,0,0,9
2021-12-12,69,0,0,0
2021-12-19,41,0,0,8
2021-12-26,22,0,0,0
2022-01-02,17,0,0,0
2022-01-09,14,0,0,0
2022-01-16,9,0,0,0
2022-01-23,10,0,0,0
2022-01-30,13,0,0,0
2022-02-06,12,0,0,0
2022-02-13,12,0,0,0
2022-02-20,14,0,0,0
2022-02-27,17,0,0,0
2022-03-06,11,0,0,0
2022-03-13,14,0,0,0
2022-03-20,10,0,0,0
2022-03-27,9,0,0,0
2022-04-03,12,0,0,0
2022-04-10,13,0,0,0
2022-04-17,10,0,0,0
2022-04-24,15,0,0,0
2022-05-01,10,0,0,0
2022-05-08,8,0,0,0
2022-05-15,9,0,0,0
2022-05-22,9,0,0,0
2022-05-29,8,0,0,0
2022-06-05,6,0,0,0
2022-06-12,7,0,0,0
2022-06-19,8,0,0,0
2022-06-26,7,0,0,0
2022-07-03,9,0,0,0
2022-07-10,7,0,0,0
2022-07-17,6,0,0,0
2022-07-24,9,0,0,0
2022-07-31,11,0,0,0
2022-08-07,8,0,0,0
2022-08-14,9,0,0,0
2022-08-21,12,0,0,0
2022-08-28,21,0,0,0
2022-09-04,21,0,0,7
2022-09-11,31,8,0,0
2022-09-18,35,0,0,0
2022-09-25,35,0,0,0
2022-10-02,39,0,0,0
2022-10-09,30,0,0,0
2022-10-16,38,0,0,0
2022-10-23,38,0,0,0
2022-10-30,49,0,0,0
2022-11-06,62,0,0,0
2022-11-13,71,0,0,6
2022-11-20,68,0,0,0
2022-11-27,87,0,0,6
2022-12-04,71,0,0,7
2022-12-11,66,0,0,5
2022-12-18,34,0,0,0
2022-12-25,18,0,0,0
2023-01-01,11,0,0,0
2023-01-08,9,0,0,0
2023-01-15,7,0,0,0
2023-01-22,8,0,0,0
2023-01-29,7,0,0,0
2023-02-05,13,0,0,0
2023-02-12,9,0,0,0
2023-02-19,11,0,0,0
2023-02-26,19,0,0,0
2023-03-05,8,0,0,0
2023-03-12,11,0,0,0
2023-03-19,12,0,0,0
2023-03-26,9,5,0,0
2023-04-02,8,0,0,0
2023-04-09,8,0,0,0
2023-04-16,10,0,0,0
2023-04-23,7,0,0,0
2023-04-30,10,0,0,0
2023-05-07,7,0,0,0
2023-05-14,13,0,0,0
2023-05-21,11,0,0,0
2023-05-28,11,0,0,0
2023-06-04,7,0,0,0
2023-06-11,9,0,0,0
2023-06-18,9,0,0,0
2023-06-25,8,0,0,0
2023-07-02,0,0,0,0
2023-07-09,9,0,0,0
2023-07-16,8,0,0,0
2023-07-23,11,0,0,0
2023-07-30,13,0,0,0
2023-08-06,7,0,0,0
2023-08-13,14,0,0,0
2023-08-20,12,0,0,0
2023-08-27,18,0,0,0
2023-09-03,12,0,0,0
2023-09-10,21,0,0,0
2023-09-17,28,0,0,0
2023-09-24,33,0,0,0
2023-10-01,26,0,0,0
2023-10-08,31,0,0,0
2023-10-15,38,0,0,0
2023-10-22,35,0,0,0
2023-10-29,39,0,0,6
2023-11-05,50,0,0,0
2023-11-12,50,0,0,0
2023-11-19,63,0,0,5
2023-11-26,65,0,0,0
2023-12-03,56,0,0,8
2023-12-10,68,0,0,7
2023-12-17,39,0,0,0
2023-12-24,26,0,0,0
2023-12-31,16,0,0,0
2024-01-07,10,0,0,0
2024-01-14,12,0,0,0
2024-01-21,9,0,0,0
2024-01-28,11,0,0,0
2024-02-04,16,0,0,0
2024-02-11,8,0,0,0
2024-02-18,15,0,0,0
2024-02-25,21,0,0,0
2024-03-03,19,0,0,0
2024-03-10,13,0,0,0
2024-03-17,16,0,0,0
2024-03-24,15,0,0,0
2024-03-31,12,0,0,0
2024-04-07,13,0,0,0
2024-04-14,9,0,0,0
2024-04-21,9,0,0,0
2024-04-28,10,0,0,0
2024-05-05,12,0,0,0
2024-05-12,9,0,0,0
2024-05-19,11,0,0,0
2024-05-26,14,0,0,0
2024-06-02,12,0,0,0
2024-06-09,12,0,0,0
2024-06-16,9,0,0,0
2024-06-23,14,0,0,0
2024-06-30,13,0,0,0
2024-07-07,9,0,0,0
2024-07-14,14,0,0,0
2024-07-21,15,0,0,0
2024-07-28,10,0,0,0
2024-08-04,13,0,0,0
2024-08-11,14,0,0,0
2024-08-18,16,0,0,0
2024-08-25,13,0,0,0
2024-09-01,24,0,0,0
2024-09-08,42,0,0,0
2024-09-15,33,0,0,0
2024-09-22,42,0,0,0
2024-09-29,52,0,0,0
2024-10-06,48,0,0,0
2024-10-13,46,0,0,0
2024-10-20,54,0,0,0
2024-10-27,48,0,0,0
2024-11-03,64,0,0,0
2024-11-10,75,0,0,0
2024-11-17,80,6,0,6
2024-11-24,88,0,0,7
2024-12-01,76,0,0,6
2024-12-08,82,0,0,7
2024-12-15,63,0,0,0
2024-12-22,33,0,0,12
2024-12-29,22,0,0,0
2025-01-05,19,0,0,0
2025-01-12,18,0,0,0
2025-01-19,20,0,0,0
2025-01-26,25,0,0,0
2025-02-02,21,0,0,0
2025-02-09,28,0,0,0
2025-02-16,16,0,0,0
2025-02-23,26,0,0,0
2025-03-02,30,0,0,0
2025-03-09,18,0,0,0
2025-03-16,16,0,0,0
2025-03-23,17,0,0,0
2025-03-30,12,0,0,0
2025-04-06,19,0,0,0
2025-04-13,14,0,0,0
2025-04-20,11,0,0,0
2025-04-27,0,0,0,0
2025-05-04,12,0,0,0
2025-05-11,10,0,0,0
2025-05-18,12,0,0,0
2025-05-25,11,0,0,0
2025-06-01,12,0,0,0
2025-06-08,9,0,0,0
2025-06-15,10,0,0,0
2025-06-22,17,0,0,0
2025-06-29,0,0,0,0
2025-07-06,9,0,0,0
2025-07-13,10,0,0,0
2025-07-20,11,0,0,0
2025-07-27,15,0,0,0
2025-08-03,17,0,0,0
2025-08-10,16,0,0,0
2025-08-17,13,0,0,0
2025-08-24,24,0,0,0
2025-08-31,27,0,0,0
2025-09-07,34,0,0,0
2025-09-14,31,0,0,0
2025-09-21,40,0,0,0
2025-09-28,43,0,0,0
2025-10-05,48,0,0,0
2025-10-12,50,0,0,0
2025-10-19,48,0,0,0
2025-10-26,58,0,0,0
2025-11-02,63,0,0,0
2025-11-09,71,0,0,11
2025-11-16,95,6,0,0
2025-11-23,100,0,0,7
2025-11-30,88,0,0,9
2025-12-07,91,0,0,13
2025-12-14,69,0,0,0
2025-12-21,31,0,0,0
2025-12-28,28,0,0,0
2026-01-04,19,0,0,0
2026-01-11,14,0,0,0
2026-01-18,19,0,0,0
2026-01-25,16,0,0,0
2026-02-01,22,0,0,0
2026-02-08,38,7,0,2
2026-02-15,43,1,0,6
2026-02-22,37,1,1,4
